pair_id,cohort_key,correct_side,n_A,n_B,n_flipped,n_missing,majority,majority_correct,agreement_pct,n_total
20308ffe67ce288f5f13ff47cf4591e175fe0055__a59e3e28e8402014d77c214f695046f34ab61e65,Chemistry & Materials Science__2020,A,21,1,3,0,A,True,95.5,25
e39c519f32b15d9b4aeca4be94bd69eb1f16212c__e9729485857fb1808b446704a714ce3e80c6e99b,Physics__2020,B,15,5,5,0,A,False,75.0,25
1f39bb77849fbbbadd96c5d389e6d2b0966f8659__9f252e33bf7034f378f8be1c526c8d14bd46d3f4,Economics__2020,B,19,3,3,0,A,False,86.4,25
73d49b26ea82c3407d15858cc824faba19d33451__a83e2d0bce2af470b2f9d0ad39edbcc312683f51,Biology / Life Sciences__2020,A,23,0,2,0,A,True,100.0,25
2d45777de3c3acc5cb7f7ec8b247b9d99ada5481__d40ad25b7ebeb801a463ebde2109cccb3c3117f8,Physics__2020,B,0,25,0,0,B,True,100.0,25
418718126d84592677db68162608f9263d932ad0__91834847ec605a55a5d63cf0893416237796955e,Mechanical & Aerospace Engineering__2020,A,0,22,3,0,B,False,100.0,25
2591a13ff3084408f539c5969f68078706b9e5fd__320ed259e26a76bc59b260903331696aa224a761,Mechanical & Aerospace Engineering__2020,A,21,1,3,0,A,True,95.5,25
3e1494531868e6b332b6ff39648b3853605a8b5a__494ce9f6b00e40bbbcbed36950978591ffa4f281,Physics__2020,A,13,4,8,0,A,True,76.5,25
c933fed82e7b5cbf7230f0f970b69590b40f86a1__f1c98cd0c28ee3c7b3c497dbbd8ad79ee0798978,Machine Learning__2020,B,24,1,0,0,A,False,96.0,25
61aed7627ce3a201d05adc367cfc5000623def1f__99ddaa1fe9477ff7b93c4d93f94e640c6b1542e9,Mechanical & Aerospace Engineering__2020,A,4,18,3,0,B,False,81.8,25
ad5227dede7370ce89fd123e2f437b2c61e22a84__d47c7e06ea7dc9bcc7e1623422eafde68c536530,Chemistry & Materials Science__2020,B,0,23,2,0,B,True,100.0,25
597676f0753760244fb9cff34a4e51338f4de479__c91b1d155985abd86798a532986b4cb9292a8e5e,Economics__2020,A,22,1,2,0,A,True,95.7,25
def0bf85248be140f431e5074d7cd2c3c92c2e6e__ebc4df9d8c5c64ebaf977428c253c27d07d753d7,Machine Learning__2020,B,1,23,1,0,B,True,95.8,25
9a426108dc14ace2664c5d92d6a94daa1c372c4e__d54320238a2d670f64e50cfc4b53b8324ab92a35,Chemistry & Materials Science__2020,A,14,6,5,0,A,True,70.0,25
0347348c83d6955a58008d5a21f7f72f4b70e595__0d1cd7f444155d462f4a8068d0f58584d5d422d0,Chemistry & Materials Science__2020,B,0,24,1,0,B,True,100.0,25
37ad96d46f7c9beabb3afbdfaa2eb5d17e77eac4__b1bee7cf865e92f5dd3ed13e9d00c51823ab5f44,Mechanical & Aerospace Engineering__2020,B,2,22,1,0,B,True,91.7,25
2eed7bd05ff7d756ab97146723773933263764b8__fabbc5550ab7bbcd63e004b8e40fa32d75cef1c2,Chemistry & Materials Science__2020,A,17,3,5,0,A,True,85.0,25
8c5c8757e062c14f96b3960beb3e0d5385b48d4f__8c84ce86834fd345108e41b237b1602b2da12825,Medicine__2020,A,25,0,0,0,A,True,100.0,25
69261de62c80769e1123b64d7814ffeb49e5d089__f1209119572225d3bf3ec0e4f277fa4fcd187b8c,Machine Learning__2020,A,13,3,9,0,A,True,81.2,25
740b7fa3e391509f05f4035819618c56778a57f5__86a5b5bf91a64fd48da40b63457f423a96fadb9b,Machine Learning__2020,B,0,24,1,0,B,True,100.0,25
95f763297c79dd3475d53f3c53626e570020d97b__c6da4761b629950782fb82cface51f9da60c1d60,Biology / Life Sciences__2020,B,0,25,0,0,B,True,100.0,25
48e4b26bd1ee37a92979efc36f9c6652ff448be7__771d6bdef9bc9d5bd4d0672f46e138758c42484c,Physics__2020,B,6,9,10,0,B,True,60.0,25
88609d4b8e9bedc88dcd14c27d7f4e5a2e519b05__d3aa93e3453ea2d5ea0e39324d8f2d9a0ac0aa43,Biology / Life Sciences__2020,A,18,4,3,0,A,True,81.8,25
3b74c7487bf07b7f055c96fbdeddbc4aa447a2cd__8d428a86bb1278a11233e4951c928e5b84334530,Biology / Life Sciences__2020,A,25,0,0,0,A,True,100.0,25
22bda8462224e3e3abfe8a85bd3df306a307ff97__d04866d410805690b40716dc4d9aedaad44d7d3b,Machine Learning__2020,A,9,6,10,0,A,True,60.0,25
30e77c6cd9b8a7ae4620c5ec96ba8d27cbb82d62__f55b7e06c7656d3ef235d72e9d0eab4148c01ead,Machine Learning__2020,A,3,18,4,0,B,False,85.7,25
ac1b26081b65d65888c96fa4d2e67a1930662db2__e749c11832475a0c2ae9ce1feb84d1ceeac1f804,Economics__2020,B,0,22,3,0,B,True,100.0,25
10569a326b860e87f6ebb7bf569af9ea59cc252a__32d88170812ea8295536a4ecb1976b94ce5622ec,Machine Learning__2020,B,12,3,10,0,A,False,80.0,25
2754ee8893521ca60908bd1700f49573dcb6cb68__9405373618a389488968aa3317041e047a3a50cb,Biology / Life Sciences__2020,B,0,18,6,1,B,True,100.0,25
0b1de953cab615331a751674f56c9134087a8a39__178887170c9eff9a9dde52a2a8f6ec5480d419eb,Mechanical & Aerospace Engineering__2020,B,2,20,3,0,B,True,90.9,25
a9c13ada98fa493dd3552c794fdb3af9e9fbd523__b2b3bb0ba0a440f1504311a5198a07568acefb8f,Machine Learning__2020,B,0,18,7,0,B,True,100.0,25
093eca7bebd3c44bf3464cd57e478a540ee44283__68ce948ccb24aa38e02fd890a251d1ca75af6bdf,Economics__2020,B,0,24,1,0,B,True,100.0,25
35a7ff031964bbb621f99fd019232f6a1f9e578e__fbd50e5036f576528315fadb93611ac87b4e3ed5,Chemistry & Materials Science__2020,B,7,10,8,0,B,True,58.8,25
5c5f76af16e9fc7f5b65df390b0d4cc6d64e6f20__66a68ff98c9dc9ac2f957357584f6c7b09205eff,Machine Learning__2020,A,9,1,15,0,A,True,90.0,25
24189da06957f2778a1be0217f4f582c129db075__f221203531120678ee4bb85c0468c4201d309957,Economics__2020,B,0,25,0,0,B,True,100.0,25
232ea353da614452c805f519bbc191b52b1aeb0a__81cb650fe12606974f2e1df6dab8c7d352af146e,Physics__2020,A,14,1,10,0,A,True,93.3,25
70ab9f096885224a41b749e70fd2a275bd459f69__dc66847f5251444390a182f7796bd3c5ffe607d0,Economics__2020,A,24,1,0,0,A,True,96.0,25
1af4e931d771cede75b6465f86a53bf70ec99648__beb2d0e3dda871d26470bdee05d0ba476e18ba31,Physics__2020,A,24,0,1,0,A,True,100.0,25
72df1cbd80503398fe1757e9cdd1759130548ea1__7c1f71145be6a0c2e5335af4731971b65f6e40d7,Chemistry & Materials Science__2020,B,0,25,0,0,B,True,100.0,25
0443cbeeb212b759b2b0614dc62f8f8f63f25ed3__19289a2ce70425c37d1d9e75fafd4b9b117fb120,Chemistry & Materials Science__2020,A,3,15,7,0,B,False,83.3,25
232377cb7ac99fd3d977138e9e590f1adc5a059f__bc555a0778aabb18da143c2b8e6d51626909e5dc,Chemistry & Materials Science__2020,A,2,19,4,0,B,False,90.5,25
27f7071f42abcacaa92fbd33c163db7f3a3177e6__f48717cc851efe691649e4a4e5102e678d221edc,Mechanical & Aerospace Engineering__2020,A,23,0,2,0,A,True,100.0,25
42d66a23b4af74335cfdcd9f91959cb16dc730f3__b7413d9cbb3ac30db763de4347a5b15520df4311,Biology / Life Sciences__2020,B,12,9,4,0,A,False,57.1,25
bd8b695ce961da19805605ba4ed46c91ef9ca25b__ca714350452010fd0f245710481fa92df7997222,Mechanical & Aerospace Engineering__2020,A,9,12,4,0,B,False,57.1,25
a48e0222014ff62407038767861c6913d74d911d__f8063f46be054f0afbe8e0918615f2d879c9fba4,Machine Learning__2020,B,11,5,9,0,A,False,68.8,25
c080535cc515ce1e5b2bbe739fd61448a3307cd3__dbcca575d756541447a2740e15fa79a34d776ba0,Medicine__2020,B,0,25,0,0,B,True,100.0,25
6187786972a9e5bec04741752e78e41fe01fcf4a__72a6e647c0c1b5ab207a2c158b64bb03b9c1249b,Physics__2020,B,9,8,8,0,A,False,52.9,25
20aee0634592e7fb160c2a0810a345df4cd0cb4a__db8aaf03ad1718cb258302322356f4d9cd7ab427,Mechanical & Aerospace Engineering__2020,A,25,0,0,0,A,True,100.0,25
7dada41b6ef5df64ff39892a5bf5ca0033bbfffb__f1036a8866d0a98af69099f5d633b25b347d5b25,Economics__2020,B,3,21,1,0,B,True,87.5,25
73bf2538b65f1045415cd8c02ae8ec350e50fc27__ea1986f9c7af203cae7df107239cb693d2b350d5,Medicine__2020,B,0,24,1,0,B,True,100.0,25
1d2ed8e2d77ba0b5db5888b8ffb378d414418d3d__b67013996f0a4bd01ef8488249de64a1fc4bf33c,Medicine__2020,A,25,0,0,0,A,True,100.0,25
58578c46040dbc449f28dd1f712f8ead171619de__b943e6e1a31643c2b9a6863181434fac2b462282,Biology / Life Sciences__2020,B,3,21,1,0,B,True,87.5,25
94dfcacaeaeffd12b519e33ed1180416c982412f__d5209170f53254aaa09349b939f35195a7f2ab89,Medicine__2020,B,0,24,1,0,B,True,100.0,25
68105eb6e6cf01285572d2803ee527f3f73c264e__b4609914d65b95ce25ead9a5d78cb665444c8c3b,Biology / Life Sciences__2020,B,2,12,3,7,B,True,85.7,24
7bf08a4c847be57bdf96c97fb73ef63807897f76__8d232227b5be19d243bcb3aef9a247fd287378f2,Biology / Life Sciences__2020,A,14,5,6,0,A,True,73.7,25
53e74d841a5367012bad0043281be13697eda99b__6b3d1bc197c1398fe9be8cb9ab28c6bcf67584eb,Medicine__2020,B,13,6,6,0,A,False,68.4,25
8018bdefd427d39b452771ebd4ee778634835f1c__f4c96149248258985c3d93fb04e872b6f8da1ea5,Mechanical & Aerospace Engineering__2020,B,0,24,1,0,B,True,100.0,25
70352d5b88588686acc05429f152c39f18a9bf64__9a0c4eec304fd84dc145eb05002e84d712a45808,Economics__2020,B,1,15,9,0,B,True,93.8,25
2776c7bf16a3055265d40b26576e0712ca3392dc__f58c692f73eb4b4c539ac4d876be3cae78d7e844,Chemistry & Materials Science__2020,A,25,0,0,0,A,True,100.0,25
151a885826605da491a2a3faf5bfd03c06ac0cb0__2a4140e4b7066d816eafd21f55a67b479cc1053b,Machine Learning__2020,B,1,20,4,0,B,True,95.2,25
92e94c6652180108ffe54446e6ec3e2706c99d2d__a58832b89ef8735b9a620bc1b970388dc1d91753,Physics__2020,A,24,0,1,0,A,True,100.0,25
468412daba6d0fcca3855c5ef87b514f36cc90e8__c88f998a53d51def6a632204b3a914f14672f466,Economics__2020,A,25,0,0,0,A,True,100.0,25
0c2f9f0fce0f423c44acb20ab9b2370dbc1ad997__1a14cc5598389ca0d8ecae72148c319fb1b53f07,Physics__2020,B,0,21,4,0,B,True,100.0,25
bd6347e8ae895566e143193feb48607f1135147c__d78d79721710352ac1c940cfa1d22b2b4b2d7704,Chemistry & Materials Science__2020,B,21,2,2,0,A,False,91.3,25
383da33ed6ebbf01dd572ddf55fb1816b57bcf8e__524fe3467dd33ab0c980a034b1b86a79575ec6f5,Economics__2020,A,6,15,4,0,B,False,71.4,25
300f0c2aef8e29a9f8f39aabdd0acf20be0366d5__5b6ddb422ad48ed796cb9669bd1f104a554bd4ff,Economics__2020,A,13,5,7,0,A,True,72.2,25
2a0fbb196d40c3a9716ed4ca30621511b5835cac__c3981847a3a01b9dfebc825f97a405eca9b7888b,Mechanical & Aerospace Engineering__2020,A,6,4,15,0,A,True,60.0,25
61494a1aa51f5cea201cf62f3b45402f91c6736f__a2ce69c7c009c9df11c6fa79dbc22ff1a31d14fd,Medicine__2020,A,2,15,8,0,B,False,88.2,25
003226397dea136ed839751a39f8a9d18245b19c__87da0d83a82bc403682ed75dde773a128fd39d80,Physics__2020,A,20,1,4,0,A,True,95.2,25
04ab593189b361c32310d7f7a75a932191b0af8e__e095f195b224bc589ff9f9ced9539f4b303fa3b1,Physics__2020,B,0,25,0,0,B,True,100.0,25
1a385b975983da493645a675a8641916af765323__a76669f6980e2ac9cf7f0b01c38fd57e6a9963c9,Machine Learning__2020,B,1,23,1,0,B,True,95.8,25
99685b46d2b1f1b44600cf4a8ea424624da9a4c4__f4816fdb737ee0bb7e970dcf1b04736e29d0ecfd,Biology / Life Sciences__2020,A,21,2,2,0,A,True,91.3,25
61ca37eda04fa9cda926832af8e1d6247e32cf64__aa5e5c02ff09cdb8e2bb8626e2041d3dd976124b,Medicine__2020,A,0,25,0,0,B,False,100.0,25
44b29ead33bc9a8c27776c5dd9b6a3003e868b10__62bb8ad9d66852c6edeacae5b4314e7d6c083cbe,Biology / Life Sciences__2020,A,21,0,4,0,A,True,100.0,25
0114ea8b5337d3fc9972f708d003a373448546bf__7c813583b2856739de42da86eb87a335f928996b,Medicine__2020,A,25,0,0,0,A,True,100.0,25
451b589b66023adef0d7d3b3d388a8f557f81fb3__57e235cf87a3bfd9c26b9eff4ed91c8988257aa0,Medicine__2020,A,25,0,0,0,A,True,100.0,25
3695b0f9d64d4def54235fb83811db7bf6cbfbc7__e6fb1f2b55a68fa69808b4ceae3e41eac4210a14,Economics__2020,B,3,10,12,0,B,True,76.9,25
