,2020Q1_(none)_000,2020Q1_C++_000,2020Q1_C++_002,2020Q1_C_000,2020Q1_Go_002,2020Q1_Go_008,2020Q1_JavaScript_002,2020Q2_C++_000,2020Q2_C++_001,2020Q2_C++_003,2020Q2_Go_009,2020Q2_Go_011,2020Q2_Ruby_000,2020Q2_Rust_001,2020Q2_Rust_002,2020Q3_(none)_000,2020Q3_C_000,2020Q3_Go_001,2020Q3_JavaScript_003,2020Q3_JavaScript_007,2020Q3_Java_000,2020Q3_Python_006,2020Q3_Swift_000,2020Q3_Swift_001,2020Q4_Go_004,2020Q4_Go_008,2020Q4_JavaScript_005,2020Q4_JavaScript_007,2020Q4_PHP_001,2020Q4_Python_007,2020Q4_Python_013,2020Q4_Rust_001,2021Q1_JavaScript_003,2021Q1_Python_000,2021Q1_TypeScript_003,2021Q2_C_000,2021Q2_Go_001,2021Q2_Go_002,2021Q2_JavaScript_000,2021Q2_JavaScript_001,2021Q2_Python_008,2021Q2_Python_011,2021Q2_Ruby_000,2021Q2_TypeScript_004,2021Q3_JavaScript_001,2021Q3_Python_004,2021Q3_TypeScript_005,2021Q4_Python_005,2022Q1_Go_002,2022Q1_Go_007,2022Q1_Go_008,2022Q1_JavaScript_000,2022Q1_Python_002,2022Q1_Rust_002,2022Q1_TypeScript_000,2022Q2_(none)_000,2022Q2_Go_006,2022Q2_Python_004,2022Q2_TypeScript_000,2022Q2_TypeScript_004,2022Q3_Python_000,2022Q3_Python_006,2022Q3_Rust_000,2022Q3_TypeScript_002,2022Q3_TypeScript_004,2022Q3_TypeScript_006,2022Q4_C_003,2022Q4_Go_004,2022Q4_Go_005,2022Q4_JavaScript_005,2022Q4_TypeScript_007,2023Q1_Go_002,2023Q1_JavaScript_001,2023Q1_Python_008,2023Q1_Rust_004,2023Q1_Shell_000,2023Q1_TypeScript_002,2023Q2_Go_003,2023Q2_Python_008,2023Q2_Python_014,2023Q2_Rust_002,2023Q2_Rust_008,2023Q2_TypeScript_005,2023Q2_TypeScript_013,2023Q3_C_002,2023Q3_Go_008,2023Q3_Jupyter-Notebook_000,2023Q3_Python_001,2023Q3_Python_005,2023Q3_Python_014,2023Q3_Rust_003,2023Q3_TypeScript_004,2023Q4_Go_008,2023Q4_HTML_000,2023Q4_Python_003,2023Q4_Python_016,2023Q4_Rust_003,2023Q4_Shell_000,2023Q4_TypeScript_008,2023Q4_TypeScript_009
nassim-taleb-distilled,B,A,flipped,B,A,B,A,A,flipped,A,A,B,B,A,A,B,B,A,B,B,B,B,flipped,flipped,A,flipped,B,A,flipped,flipped,B,A,A,A,B,B,B,B,flipped,B,flipped,B,B,A,B,A,flipped,flipped,B,A,A,B,B,A,flipped,A,flipped,flipped,B,B,B,A,B,B,B,B,B,flipped,A,flipped,B,B,A,flipped,B,A,B,A,B,A,A,A,B,B,B,flipped,A,A,B,flipped,flipped,A,flipped,B,A,B,B,B,B,B
nassim-taleb-light,flipped,flipped,flipped,B,flipped,B,A,B,B,A,flipped,B,B,A,A,flipped,B,A,B,B,B,B,A,B,flipped,flipped,B,A,B,A,B,A,A,A,B,B,flipped,B,B,B,B,B,B,A,B,A,B,flipped,B,A,A,A,B,A,flipped,A,flipped,flipped,flipped,B,B,A,B,B,B,B,B,flipped,A,B,B,A,A,A,A,A,B,B,A,A,flipped,flipped,B,B,B,flipped,flipped,A,B,B,flipped,A,flipped,B,B,B,B,B,flipped,B
naval-ravikant-distilled,B,B,A,A,A,B,A,A,A,flipped,A,B,B,A,A,B,B,flipped,B,B,B,B,flipped,B,A,A,B,A,A,B,B,A,A,B,B,B,B,flipped,B,A,A,B,flipped,A,B,A,B,A,B,A,A,B,B,A,B,A,B,flipped,B,A,B,A,B,B,B,B,B,B,A,B,A,B,A,A,A,A,B,A,B,A,A,A,flipped,B,B,A,B,A,B,A,A,A,flipped,B,A,B,B,B,B,B
paul-graham-distilled,B,B,A,A,A,B,A,A,A,B,A,B,B,A,A,flipped,B,A,B,B,B,B,A,B,A,A,B,A,B,flipped,B,A,A,A,B,B,A,B,flipped,A,flipped,B,A,A,B,A,B,flipped,A,A,A,B,flipped,A,flipped,A,A,flipped,B,flipped,B,A,B,B,B,B,B,B,A,B,B,B,flipped,flipped,flipped,A,B,A,flipped,A,A,flipped,B,B,B,B,flipped,A,B,A,B,A,B,B,B,B,B,B,B,B
paul-graham-light,A,B,A,A,A,B,A,A,flipped,B,A,B,B,A,A,B,B,A,B,B,B,flipped,A,B,A,A,B,A,flipped,B,B,A,A,A,flipped,A,A,B,B,A,A,B,A,A,B,A,A,flipped,A,A,A,A,A,A,A,A,A,B,B,A,B,A,B,B,B,B,B,B,A,B,B,B,B,B,B,A,B,A,B,A,A,B,A,B,B,flipped,B,A,B,A,B,A,B,B,B,B,B,B,B,B
peter-thiel-distilled,B,A,A,B,A,B,A,flipped,A,A,flipped,B,B,A,A,flipped,B,A,B,B,B,B,A,A,A,flipped,B,A,flipped,B,B,A,A,B,B,flipped,B,A,flipped,B,flipped,B,B,A,B,A,B,B,B,A,A,B,B,flipped,flipped,A,flipped,flipped,B,B,B,A,B,B,B,B,B,B,A,B,B,B,A,A,flipped,A,B,B,flipped,A,A,A,B,B,B,B,B,A,B,B,B,A,flipped,B,B,B,flipped,B,A,B
peter-thiel-light,B,B,A,B,A,B,A,A,A,A,B,B,B,A,flipped,flipped,B,A,B,B,B,B,B,flipped,A,A,B,A,B,B,B,A,A,B,B,B,B,A,B,B,flipped,B,A,A,B,A,B,A,B,A,A,A,B,flipped,A,A,B,flipped,B,B,flipped,A,B,B,B,B,B,B,A,B,B,B,A,A,A,A,B,B,B,A,A,A,flipped,B,B,A,B,A,B,A,B,A,flipped,B,flipped,B,B,B,A,B
ray-dalio-distilled,A,B,A,A,A,B,A,A,A,flipped,A,B,B,A,A,B,B,flipped,B,B,B,B,flipped,B,A,A,B,A,flipped,B,B,A,A,B,B,flipped,B,B,B,B,A,B,A,A,B,A,B,A,A,A,A,B,B,A,flipped,flipped,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B,A,A,flipped,A,B,A,B,A,A,A,A,B,B,B,B,A,B,A,B,A,A,B,A,B,B,B,B,B
richard-hamming-distilled,A,A,A,flipped,A,B,A,A,B,A,A,B,B,A,A,flipped,B,flipped,B,B,B,B,flipped,A,A,flipped,B,A,flipped,B,B,A,A,B,B,A,B,B,B,B,A,B,B,A,B,A,B,A,B,A,A,B,B,A,B,A,B,B,B,B,A,A,B,B,B,B,B,flipped,A,B,B,B,A,A,flipped,A,B,flipped,B,A,A,A,B,B,B,flipped,B,A,B,A,B,A,flipped,B,A,B,B,B,A,B
richard-hamming-light,A,A,A,B,A,B,A,A,B,A,flipped,B,B,A,A,B,B,flipped,flipped,B,B,B,B,B,A,A,B,A,flipped,B,B,A,flipped,B,B,A,flipped,B,B,B,A,B,A,A,B,A,flipped,A,A,A,A,B,B,A,A,A,B,flipped,B,B,A,flipped,B,B,B,B,B,B,A,B,flipped,B,A,A,A,A,B,flipped,B,A,A,A,flipped,B,B,B,B,A,B,A,B,A,flipped,B,A,B,B,B,A,B
sam-altman-distilled,A,flipped,A,A,A,B,A,A,A,B,A,B,B,A,A,B,B,flipped,B,B,B,B,A,B,A,A,B,A,B,B,B,A,A,B,B,flipped,B,B,B,B,A,B,A,A,B,A,B,A,A,A,A,B,B,A,A,A,B,B,B,A,flipped,B,B,B,B,B,B,B,A,B,flipped,B,A,A,flipped,A,B,A,B,A,A,A,A,B,B,B,B,A,B,A,B,A,A,B,A,B,B,B,flipped,B
vanilla_opus_4_7,A,B,A,A,A,B,A,A,flipped,B,A,B,B,A,A,B,B,flipped,B,B,B,B,B,B,A,A,B,A,A,B,B,A,A,B,B,B,B,B,flipped,A,A,B,flipped,A,B,A,A,A,A,A,A,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B,A,A,A,A,B,A,B,A,A,A,A,B,B,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B
vanilla_sonnet_4_6,A,B,A,A,A,B,A,A,A,B,A,B,B,A,A,B,B,B,B,B,B,B,A,B,A,A,B,A,flipped,B,B,A,A,B,B,B,B,B,flipped,A,A,B,A,A,B,A,flipped,A,A,A,A,B,B,A,A,flipped,flipped,B,B,flipped,B,B,B,B,B,B,B,B,A,B,A,B,flipped,A,A,A,B,A,B,A,A,A,A,B,B,B,A,A,B,A,B,A,flipped,B,A,B,B,B,B,B
warren-buffett-distilled,flipped,B,A,A,A,B,A,A,A,A,A,B,B,A,A,B,B,B,B,B,B,B,A,B,A,A,B,A,A,flipped,B,A,A,A,B,flipped,A,B,B,flipped,A,B,A,A,B,A,B,A,B,A,A,flipped,flipped,A,B,flipped,A,B,B,flipped,B,A,B,B,B,B,B,flipped,A,B,flipped,B,B,flipped,B,A,B,A,B,A,A,A,B,B,B,A,A,A,B,A,A,A,flipped,B,A,B,B,B,B,B
warren-buffett-light,B,B,A,A,flipped,B,A,A,flipped,B,A,flipped,B,A,A,B,B,B,B,B,B,A,A,B,flipped,B,B,A,B,A,B,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,B,B,flipped,A,A,A,B,B,A,B,B,flipped,B,A,B,B,B,B,B,flipped,A,B,A,B,B,B,A,A,B,A,B,A,A,B,flipped,flipped,B,A,A,A,B,A,A,A,A,A,flipped,B,B,flipped,B,B
