pair_id,cohort_key,correct_side,n_A,n_B,n_flipped,n_missing,majority,majority_correct,agreement_pct,n_total
2023Q2_Python_014,2023Q2__Python,A,24,1,0,0,A,True,96.0,25
2023Q2_TypeScript_013,2023Q2__TypeScript,B,0,22,3,0,B,True,100.0,25
2023Q3_Rust_003,2023Q3__Rust,A,5,14,6,0,B,False,73.7,25
2020Q4_JavaScript_005,2020Q4__JavaScript,B,0,25,0,0,B,True,100.0,25
2020Q3_Go_001,2020Q3__Go,B,10,4,11,0,A,False,71.4,25
2020Q4_Python_013,2020Q4__Python,B,0,25,0,0,B,True,100.0,25
2021Q2_Ruby_000,2021Q2__Ruby,B,14,6,5,0,A,False,70.0,25
2020Q2_C++_000,2020Q2__C++,A,22,1,2,0,A,True,95.7,25
2022Q1_Go_002,2022Q1__Go,A,12,11,2,0,A,True,52.2,25
2021Q2_C_000,2021Q2__C,B,7,9,9,0,B,True,56.2,25
2020Q1_C_000,2020Q1__C,A,11,7,7,0,A,True,61.1,25
2023Q2_Python_008,2023Q2__Python,B,2,21,2,0,B,True,91.3,25
2021Q1_JavaScript_003,2021Q1__JavaScript,A,24,0,1,0,A,True,100.0,25
2023Q4_Shell_000,2023Q4__Shell,A,0,23,2,0,B,False,100.0,25
2023Q3_Python_014,2023Q3__Python,A,22,2,1,0,A,True,91.7,25
2022Q2_TypeScript_004,2022Q2__TypeScript,A,7,10,8,0,B,False,58.8,25
2021Q1_TypeScript_003,2021Q1__TypeScript,B,0,24,1,0,B,True,100.0,25
2022Q2_TypeScript_000,2022Q2__TypeScript,B,0,23,2,0,B,True,100.0,25
2023Q1_Go_002,2023Q1__Go,B,1,24,0,0,B,True,96.0,25
2022Q3_TypeScript_002,2022Q3__TypeScript,B,0,25,0,0,B,True,100.0,25
2023Q1_Python_008,2023Q1__Python,A,19,3,3,0,A,True,86.4,25
2022Q2_Python_004,2022Q2__Python,B,0,14,11,0,B,True,100.0,25
2020Q3_Swift_001,2020Q3__Swift,B,4,17,4,0,B,True,81.0,25
2021Q2_JavaScript_001,2021Q2__JavaScript,A,7,15,3,0,B,False,68.2,25
2020Q2_Ruby_000,2020Q2__Ruby,B,0,25,0,0,B,True,100.0,25
2021Q2_Python_011,2021Q2__Python,B,0,25,0,0,B,True,100.0,25
2022Q1_Rust_002,2022Q1__Rust,A,22,0,3,0,A,True,100.0,25
2020Q1_C++_002,2020Q1__C++,A,23,0,2,0,A,True,100.0,25
2020Q1_JavaScript_002,2020Q1__JavaScript,A,25,0,0,0,A,True,100.0,25
2021Q3_Python_004,2021Q3__Python,A,25,0,0,0,A,True,100.0,25
2020Q4_Rust_001,2020Q4__Rust,A,23,0,2,0,A,True,100.0,25
2023Q2_Rust_002,2023Q2__Rust,A,22,1,2,0,A,True,95.7,25
2023Q4_Rust_003,2023Q4__Rust,B,0,24,1,0,B,True,100.0,25
2020Q3_Python_006,2020Q3__Python,B,1,23,1,0,B,True,95.8,25
2021Q2_Python_008,2021Q2__Python,A,20,1,4,0,A,True,95.2,25
2020Q2_Rust_001,2020Q2__Rust,A,25,0,0,0,A,True,100.0,25
2022Q4_Go_005,2022Q4__Go,A,25,0,0,0,A,True,100.0,25
2023Q1_JavaScript_001,2023Q1__JavaScript,B,17,3,5,0,A,False,85.0,25
2020Q2_Go_009,2020Q2__Go,A,17,1,7,0,A,True,94.4,25
2020Q1_(none)_000,2020Q1__(none),B,11,8,6,0,A,False,57.9,25
2021Q2_Go_001,2021Q2__Go,B,5,18,2,0,B,True,78.3,25
2020Q2_Rust_002,2020Q2__Rust,A,24,0,1,0,A,True,100.0,25
2022Q1_TypeScript_000,2022Q1__TypeScript,A,8,10,7,0,B,False,55.6,25
2020Q4_PHP_001,2020Q4__PHP,B,6,10,9,0,B,True,62.5,25
2022Q4_TypeScript_007,2022Q4__TypeScript,A,9,11,5,0,B,False,55.0,25
2023Q2_Rust_008,2023Q2__Rust,A,20,3,2,0,A,True,87.0,25
2023Q2_TypeScript_005,2023Q2__TypeScript,A,9,9,7,0,tie,False,50.0,25
2023Q1_TypeScript_002,2023Q1__TypeScript,B,0,25,0,0,B,True,100.0,25
2023Q4_Go_008,2023Q4__Go,B,9,3,13,0,A,False,75.0,25
2020Q1_Go_002,2020Q1__Go,A,23,0,2,0,A,True,100.0,25
2023Q3_Go_008,2023Q3__Go,B,8,12,5,0,B,True,60.0,25
2022Q1_Python_002,2022Q1__Python,A,2,20,3,0,B,False,90.9,25
2021Q1_Python_000,2021Q1__Python,B,7,17,1,0,B,True,70.8,25
2023Q3_C_002,2023Q3__C,B,0,25,0,0,B,True,100.0,25
2023Q4_HTML_000,2023Q4__HTML,A,1,23,1,0,B,False,95.8,25
2023Q4_Python_003,2023Q4__Python,A,18,5,2,0,A,True,78.3,25
2022Q3_Python_006,2022Q3__Python,B,14,8,3,0,A,False,63.6,25
2021Q2_TypeScript_004,2021Q2__TypeScript,A,25,0,0,0,A,True,100.0,25
2020Q3_(none)_000,2020Q3__(none),B,0,19,6,0,B,True,100.0,25
2023Q3_Jupyter-Notebook_000,2023Q3__Jupyter Notebook,A,6,15,4,0,B,False,71.4,25
2020Q3_JavaScript_003,2020Q3__JavaScript,B,0,23,2,0,B,True,100.0,25
2022Q1_Go_007,2022Q1__Go,A,24,1,0,0,A,True,96.0,25
2022Q3_TypeScript_004,2022Q3__TypeScript,B,0,25,0,0,B,True,100.0,25
2022Q4_Go_004,2022Q4__Go,B,1,18,6,0,B,True,94.7,25
2020Q4_Go_008,2020Q4__Go,A,17,1,7,0,A,True,94.4,25
2022Q2_(none)_000,2022Q2__(none),B,19,1,5,0,A,False,95.0,25
2020Q3_JavaScript_007,2020Q3__JavaScript,B,0,25,0,0,B,True,100.0,25
2023Q1_Rust_004,2023Q1__Rust,B,7,5,13,0,A,False,58.3,25
2020Q1_Go_008,2020Q1__Go,B,1,24,0,0,B,True,96.0,25
2023Q3_TypeScript_004,2023Q3__TypeScript,B,25,0,0,0,A,False,100.0,25
2022Q1_JavaScript_000,2022Q1__JavaScript,B,4,18,3,0,B,True,81.8,25
2021Q2_JavaScript_000,2021Q2__JavaScript,B,0,19,6,0,B,True,100.0,25
2023Q2_Go_003,2023Q2__Go,A,18,4,3,0,A,True,81.8,25
